1,2b,2,2#,3b,3,3#,4b,4,4#,5b,5,5#,6b,6,6#,7b,7,7#,9b,9,9#,11b,11,11#,13b,13,13#
C,Db,D,D#,Eb,E,E#,Fb,F,F#,Gb,G,G#,Ab,A,A#,Bb,B,B#,Db,D,D#,Fb,F,F#,Ab,A,A#
F,Gb,G,G#,Ab,A,A#,Bbb,Bb,B,Cb,C,C#,Db,D,D#,Eb,E,E#,Gb,G,G#,Bbb,Bb,B,Db,D,D#
Bb,Cb,C,C#,Db,D,D#,Ebb,Eb,E,Fb,F,F#,Gb,G,G#,Ab,A,A#,Cb,C,C#,Ebb,Eb,E,Gb,G,G#
Eb,Fb,F,F#,Gb,G,G#,Abb,Ab,A,Bbb,Bb,B,Cb,C,C#,Db,D,D#,Fb,F,F#,Abb,Ab,A,Cb,C,C#
Ab,Bbb,Bb,B,Cb,C,C#,Dbb,Db,D,Ebb,Eb,E,Fb,F,F#,Gb,G,G#,Bbb,Bb,B,Dbb,Db,D,Fb,F,F#
Db,Ebb,Eb,E,Fb,F,F#,Gbb,Gb,G,Abb,Ab,A,Bbb,Bb,B,Cb,C,C#,Ebb,Eb,E,Gbb,Gb,G,Bbb,Bb,B
Gb,Abb,Ab,A,Bbb,Bb,B,Cbb,Cb,C,Dbb,Db,D,Ebb,Eb,E,Fb,F,F#,Abb,Ab,A,Cbb,Cb,C,Ebb,Eb,E
F#,G,G#,G##,Ab,A#,A##,Bb,B,B#,C,C#,C##,D,D#,D##,E,E#,E##,G,G#,G##,Bb,B,B#,D,D#,D##
B,C,C#,C##,D,D#,D##,Eb,E,E#,F,F#,F##,G,G#,G##,A,A#,A##,C,C#,C##,Eb,E,E#,G,G#,G##
E,F,F#,F##,G,G#,G##,Ab,A,A#,Bb,B,B#,C,C#,C##,D,D#,D##,F,F#,F##,Ab,A,A#,C,C#,C##
A,Bb,B,B#,C,C#,C##,Db,D,D#,Eb,E,E#,F,F#,F##,G,G#,G##,Bb,B,B#,Db,D,D#,F,F#,F##
D,Eb,E,E#,F,F#,F##,Gb,G,G#,Ab,A,A#,Bb,B,B#,C,C#,C##,Eb,E,E#,Gb,G,G#,Bb,B,B#
G,Ab,A,A#,Bb,B,B#,Cb,C,C#,Db,D,D#,Eb,E,E#,F,F#,F##,Ab,A,A#,Cb,C,C#,Eb,E,E#
